SSG 08 | Necropos Exterior: Field-Tested/15,0748
SSG 08 | Necropos Exterior: Well-Worn/13,858
Tec-9 | Army Mesh Exterior: Factory New/3,54055
Tec-9 | Cracked Opal Exterior: Battle-Scarred/5,26435
Tec-9 | Cracked Opal Exterior: Field-Tested/5,77135
Tec-9 | Cracked Opal Exterior: Well-Worn/5,31505
Tec-9 | Flash Out Exterior: Field-Tested/5,3573
Tec-9 | Fubar Exterior: Battle-Scarred/5,31505
Tec-9 | Fubar Exterior: Field-Tested/5,4587
Tec-9 | Fubar Exterior: Well-Worn/6,22765
Tec-9 | Ice Cap Exterior: Field-Tested/8,86405
Tec-9 | Phoenix Chalk Exterior: Field-Tested/4,4278
Tec-9 | Phoenix Chalk Exterior: Minimal Wear/6,26145
Tec-9 | Red Quartz Exterior: Factory New/13,44395
Tec-9 | Red Quartz Exterior: Field-Tested/13,79885
Tec-9 | Red Quartz Exterior: Minimal Wear/14,196
Tec-9 | Sandstorm Exterior: Field-Tested/9,59075
Tec-9 | Snek-9 Exterior: Well-Worn/8,00215
Tec-9 | VariCamo Exterior: Field-Tested/6,43045
